"domain","year","hospital_name","region","service_line","sex","age_band","activity"
"acute",2020,"Hospital one","North","Cardiology","Female","A.000-004",43807
"acute",2020,"Hospital one","North","Cardiology","Female","B.005-009",26608
"acute",2020,"Hospital one","North","Cardiology","Female","C.010-014",33975
"acute",2020,"Hospital one","North","Cardiology","Female","D.015-019",33956
"acute",2020,"Hospital one","North","Cardiology","Female","E.020-024",32340
"acute",2020,"Hospital one","North","Cardiology","Female","F.025-029",41329
"acute",2020,"Hospital one","North","Cardiology","Female","G.030-034",47041
"acute",2020,"Hospital one","North","Cardiology","Female","H.035-039",44711
"acute",2020,"Hospital one","North","Cardiology","Female","I.040-044",65875
"acute",2020,"Hospital one","North","Cardiology","Female","J.045-049",64212
"acute",2020,"Hospital one","North","Cardiology","Female","K.050-054",90167
"acute",2020,"Hospital one","North","Cardiology","Female","L.055-059",123501
"acute",2020,"Hospital one","North","Cardiology","Female","M.060-064",127379
"acute",2020,"Hospital one","North","Cardiology","Female","N.065-069",160081
"acute",2020,"Hospital one","North","Cardiology","Female","O.070-074",214042
"acute",2020,"Hospital one","North","Cardiology","Female","P.075-079",185086
"acute",2020,"Hospital one","North","Cardiology","Female","Q.080-084",116530
"acute",2020,"Hospital one","North","Cardiology","Female","R.085+",123334
"acute",2020,"Hospital one","North","Cardiology","Male","A.000-004",42697
"acute",2020,"Hospital one","North","Cardiology","Male","B.005-009",25017
"acute",2020,"Hospital one","North","Cardiology","Male","C.010-014",35457
"acute",2020,"Hospital one","North","Cardiology","Male","D.015-019",32097
"acute",2020,"Hospital one","North","Cardiology","Male","E.020-024",33920
"acute",2020,"Hospital one","North","Cardiology","Male","F.025-029",43978
"acute",2020,"Hospital one","North","Cardiology","Male","G.030-034",46463
"acute",2020,"Hospital one","North","Cardiology","Male","H.035-039",49454
"acute",2020,"Hospital one","North","Cardiology","Male","I.040-044",52211
"acute",2020,"Hospital one","North","Cardiology","Male","J.045-049",82801
"acute",2020,"Hospital one","North","Cardiology","Male","K.050-054",85585
"acute",2020,"Hospital one","North","Cardiology","Male","L.055-059",104786
"acute",2020,"Hospital one","North","Cardiology","Male","M.060-064",114955
"acute",2020,"Hospital one","North","Cardiology","Male","N.065-069",156721
"acute",2020,"Hospital one","North","Cardiology","Male","O.070-074",191445
"acute",2020,"Hospital one","North","Cardiology","Male","P.075-079",151874
"acute",2020,"Hospital one","North","Cardiology","Male","Q.080-084",104408
"acute",2020,"Hospital one","North","Cardiology","Male","R.085+",125904
"acute",2020,"Hospital one","North","Dermatology","Female","A.000-004",42772
"acute",2020,"Hospital one","North","Dermatology","Female","B.005-009",40924
"acute",2020,"Hospital one","North","Dermatology","Female","C.010-014",41364
"acute",2020,"Hospital one","North","Dermatology","Female","D.015-019",39581
"acute",2020,"Hospital one","North","Dermatology","Female","E.020-024",32794
"acute",2020,"Hospital one","North","Dermatology","Female","F.025-029",52773
"acute",2020,"Hospital one","North","Dermatology","Female","G.030-034",59689
"acute",2020,"Hospital one","North","Dermatology","Female","H.035-039",54074
"acute",2020,"Hospital one","North","Dermatology","Female","I.040-044",62397
"acute",2020,"Hospital one","North","Dermatology","Female","J.045-049",95434
"acute",2020,"Hospital one","North","Dermatology","Female","K.050-054",98592
"acute",2020,"Hospital one","North","Dermatology","Female","L.055-059",138639
"acute",2020,"Hospital one","North","Dermatology","Female","M.060-064",170927
"acute",2020,"Hospital one","North","Dermatology","Female","N.065-069",157709
"acute",2020,"Hospital one","North","Dermatology","Female","O.070-074",185276
"acute",2020,"Hospital one","North","Dermatology","Female","P.075-079",158305
"acute",2020,"Hospital one","North","Dermatology","Female","Q.080-084",155114
"acute",2020,"Hospital one","North","Dermatology","Female","R.085+",155533
"acute",2020,"Hospital one","North","Dermatology","Male","A.000-004",41971
"acute",2020,"Hospital one","North","Dermatology","Male","B.005-009",34693
"acute",2020,"Hospital one","North","Dermatology","Male","C.010-014",47686
"acute",2020,"Hospital one","North","Dermatology","Male","D.015-019",36203
"acute",2020,"Hospital one","North","Dermatology","Male","E.020-024",41388
"acute",2020,"Hospital one","North","Dermatology","Male","F.025-029",51537
"acute",2020,"Hospital one","North","Dermatology","Male","G.030-034",65937
