"domain","year","hospital_name","region","service_line","sex","age_band","activity"
"community",2020,"Hospital one","North","Cardiology","Female","A.000-004",219034
"community",2020,"Hospital one","North","Cardiology","Female","B.005-009",133041
"community",2020,"Hospital one","North","Cardiology","Female","C.010-014",169877
"community",2020,"Hospital one","North","Cardiology","Female","D.015-019",169779
"community",2020,"Hospital one","North","Cardiology","Female","E.020-024",161700
"community",2020,"Hospital one","North","Cardiology","Female","F.025-029",206646
"community",2020,"Hospital one","North","Cardiology","Female","G.030-034",235203
"community",2020,"Hospital one","North","Cardiology","Female","H.035-039",223555
"community",2020,"Hospital one","North","Cardiology","Female","I.040-044",329376
"community",2020,"Hospital one","North","Cardiology","Female","J.045-049",321061
"community",2020,"Hospital one","North","Cardiology","Female","K.050-054",450835
"community",2020,"Hospital one","North","Cardiology","Female","L.055-059",617504
"community",2020,"Hospital one","North","Cardiology","Female","M.060-064",636894
"community",2020,"Hospital one","North","Cardiology","Female","N.065-069",800406
"community",2020,"Hospital one","North","Cardiology","Female","O.070-074",1070212
"community",2020,"Hospital one","North","Cardiology","Female","P.075-079",925431
"community",2020,"Hospital one","North","Cardiology","Female","Q.080-084",582648
"community",2020,"Hospital one","North","Cardiology","Female","R.085+",616672
"community",2020,"Hospital one","North","Cardiology","Male","A.000-004",213485
"community",2020,"Hospital one","North","Cardiology","Male","B.005-009",125084
"community",2020,"Hospital one","North","Cardiology","Male","C.010-014",177285
"community",2020,"Hospital one","North","Cardiology","Male","D.015-019",160486
"community",2020,"Hospital one","North","Cardiology","Male","E.020-024",169599
"community",2020,"Hospital one","North","Cardiology","Male","F.025-029",219891
"community",2020,"Hospital one","North","Cardiology","Male","G.030-034",232314
"community",2020,"Hospital one","North","Cardiology","Male","H.035-039",247270
"community",2020,"Hospital one","North","Cardiology","Male","I.040-044",261056
"community",2020,"Hospital one","North","Cardiology","Male","J.045-049",414003
"community",2020,"Hospital one","North","Cardiology","Male","K.050-054",427926
"community",2020,"Hospital one","North","Cardiology","Male","L.055-059",523932
"community",2020,"Hospital one","North","Cardiology","Male","M.060-064",574777
"community",2020,"Hospital one","North","Cardiology","Male","N.065-069",783607
"community",2020,"Hospital one","North","Cardiology","Male","O.070-074",957226
"community",2020,"Hospital one","North","Cardiology","Male","P.075-079",759369
"community",2020,"Hospital one","North","Cardiology","Male","Q.080-084",522039
"community",2020,"Hospital one","North","Cardiology","Male","R.085+",629521
"community",2020,"Hospital one","North","Dermatology","Female","A.000-004",213859
"community",2020,"Hospital one","North","Dermatology","Female","B.005-009",204622
"community",2020,"Hospital one","North","Dermatology","Female","C.010-014",206821
"community",2020,"Hospital one","North","Dermatology","Female","D.015-019",197907
"community",2020,"Hospital one","North","Dermatology","Female","E.020-024",163970
"community",2020,"Hospital one","North","Dermatology","Female","F.025-029",263867
"community",2020,"Hospital one","North","Dermatology","Female","G.030-034",298443
"community",2020,"Hospital one","North","Dermatology","Female","H.035-039",270372
"community",2020,"Hospital one","North","Dermatology","Female","I.040-044",311984
"community",2020,"Hospital one","North","Dermatology","Female","J.045-049",477169
"community",2020,"Hospital one","North","Dermatology","Female","K.050-054",492960
"community",2020,"Hospital one","North","Dermatology","Female","L.055-059",693194
"community",2020,"Hospital one","North","Dermatology","Female","M.060-064",854633
"community",2020,"Hospital one","North","Dermatology","Female","N.065-069",788546
"community",2020,"Hospital one","North","Dermatology","Female","O.070-074",926378
"community",2020,"Hospital one","North","Dermatology","Female","P.075-079",791523
"community",2020,"Hospital one","North","Dermatology","Female","Q.080-084",775572
"community",2020,"Hospital one","North","Dermatology","Female","R.085+",777667
"community",2020,"Hospital one","North","Dermatology","Male","A.000-004",209854
"community",2020,"Hospital one","North","Dermatology","Male","B.005-009",173465
"community",2020,"Hospital one","North","Dermatology","Male","C.010-014",238429
"community",2020,"Hospital one","North","Dermatology","Male","D.015-019",181014
"community",2020,"Hospital one","North","Dermatology","Male","E.020-024",206939
"community",2020,"Hospital one","North","Dermatology","Male","F.025-029",257683
"community",2020,"Hospital one","North","Dermatology","Male","G.030-034",329684
"community",2020,"Hospital one","North","Dermatology","Male","H.035-039",299210
"community",2020,"Hospital one","North","Dermatology","Male","I.040-044",331106
"community",2020,"Hospital one","North","Dermatology","Male","J.045-049",494438
"community",2020,"Hospital one","North","Dermatology","Male","K.050-054",576146
"community",2020,"Hospital one","North","Dermatology","Male","L.055-059",707070
